county state,measure
"Autauga, AL",0.48996916670003604
"Baldwin, AL",0.571601113269968
"Barbour, AL",0.05568822237080905
"Bibb, AL",0.5515364553804286
"Blount, AL",0.8090901985305612
"Bullock, AL",-0.5074309978768577
"Butler, AL",0.13456252863032525
"Calhoun, AL",0.4099740932642487
"Chambers, AL",0.1481294964028777
"Cherokee, AL",0.6900214292369328
"Chilton, AL",0.6625292612553759
"Choctaw, AL",0.13672517827756445
"Clarke, AL",0.10674545315018034
"Clay, AL",0.605072463768116
"Cleburne, AL",0.770514181707872
"Coffee, AL",0.5611787932777965
"Colbert, AL",0.37864740116395745
"Conecuh, AL",0.051632498101746395
"Coosa, AL",0.30445544554455445
"Covington, AL",0.6825595984943539
"Crenshaw, AL",0.4546034785383756
"Cullman, AL",0.7707601721543051
"Dale, AL",0.5010933916475545
"Dallas, AL",-0.375
"DeKalb, AL",0.6885696584836986
"Elmore, AL",0.5150563607085347
"Escambia, AL",0.35904344897271806
"Etowah, AL",0.49612806810977267
"Fayette, AL",0.648563462237847
"Franklin, AL",0.6037375415282392
"Geneva, AL",0.7202755570675284
"Greene, AL",-0.6506147540983607
"Hale, AL",-0.19925373134328359
"Henry, AL",0.41377601585728446
"Houston, AL",0.4705551255892493
"Jackson, AL",0.6194719786504003
"Jefferson, AL",-0.07266815915000772
"Lamar, AL",0.6871949468848694
"Lauderdale, AL",0.454067046173308
"Lawrence, AL",0.48593971272506575
"Lee, AL",0.2261661401226538
"Limestone, AL",0.4863999602918549
"Lowndes, AL",-0.46858168761220825
"Macon, AL",-0.6712253829321663
"Madison, AL",0.16340145297419043
"Marengo, AL",-0.03474622521375296
"Marion, AL",0.7580098582871226
"Marshall, AL",0.6885264469362329
"Mobile, AL",0.13274515593069233
"Monroe, AL",0.14243987927173596
"Montgomery, AL",-0.25984063080164377
"Morgan, AL",0.5179685648842903
"Perry, AL",-0.4579386131110269
"Pickens, AL",0.15552295116327813
"Pike, AL",0.20025820170109357
"Randolph, AL",0.5314616668302738
"Russell, AL",-0.019162858329871208
"St. Clair, AL",0.6786979166666667
"Shelby, AL",0.49423232662413336
"Sumter, AL",-0.49368273280299485
"Talladega, AL",0.2542281557757356
"Tallapoosa, AL",0.414400082110233
"Tuscaloosa, AL",0.1929987908101572
"Walker, AL",0.6707722584147665
"Washington, AL",0.4298605414273995
"Wilcox, AL",-0.42530238640078455
"Winston, AL",0.8102395035392224
"District 1, AK",0.09144320578487496
"District 2, AK",0.2918790968681719
"District 3, AK",0.5466964402994877
"District 4, AK",-0.009662850540909568
"District 5, AK",0.06273716164938022
"District 6, AK",0.28286052009456264
"District 7, AK",0.5335182059319991
"District 8, AK",0.6079524340393906
"District 9, AK",0.47542997542997545
"District 10, AK",0.49192477876106194
"District 11, AK",0.44400866962534835
"District 12, AK",0.4926123860421251
"District 13, AK",0.35879381601102095
"District 14, AK",0.28166986564299423
"District 15, AK",0.13990365315134484
"District 16, AK",-0.012237762237762238
"District 17, AK",-0.09899823217442545
"District 18, AK",-0.16549581194271817
"District 19, AK",-0.21556761268781302
"District 20, AK",-0.2750700280112045
"District 21, AK",-0.08615704868740603
"District 22, AK",0.11144290492116579
"District 23, AK",0.050837666088965915
"District 24, AK",0.12455947136563876
"District 25, AK",0.05389442598744924
"District 26, AK",0.13183604716451433
"District 27, AK",0.040532847546396446
"District 28, AK",0.05898311017764943
"District 29, AK",0.4519906323185012
"District 30, AK",0.48916201117318436
"District 31, AK",0.21125515615792576
"District 32, AK",0.1422644539614561
"District 33, AK",-0.3267565935172136
"District 34, AK",-0.028098823030431555
"District 35, AK",0.039371820393718206
"District 36, AK",0.21381897386253632
"District 37, AK",-0.09541683129197945
"District 38, AK",-0.3169774288518155
"District 39, AK",-0.3080333392445469
"District 40, AK",-0.20845986984815618
"Apache, AZ",-0.31969198510538305
"Cochise, AZ",0.21277616714985503
"Coconino, AZ",-0.1889468754181721
"Gila, AZ",0.19562907049622585
"Graham, AZ",0.23264059883778193
"Greenlee, AZ",0.15408320493066255
"La Paz, AZ",0.40799865568811966
"Maricopa, AZ",0.02835376704421514
"Mohave, AZ",0.5107013747294947
"Navajo, AZ",0.10219883853675485
"Pima, AZ",-0.13573901906839958
"Pinal, AZ",0.1924181371867908
"Santa Cruz, AZ",-0.47422868618024705
"Yavapai, AZ",0.31227610310179116
"Yuma, AZ",0.010564044519901906
"Arkansas, AR",0.3037669027688345
"Ashley, AR",0.3624891748113324
"Baxter, AR",0.5318729130830719
"Benton, AR",0.3394406345534165
"Boone, AR",0.577803984855068
"Bradley, AR",0.2318642211880646
"Calhoun, AR",0.40414279418245924
"Carroll, AR",0.32013385387618515
"Chicot, AR",-0.1518199233716475
"Clark, AR",0.09195402298850575
"Clay, AR",0.49653846153846154
"Cleburne, AR",0.6087712039718659
"Cleveland, AR",0.5184853905784138
"Columbia, AR",0.2606053786429616
"Conway, AR",0.2766494260123628
"Craighead, AR",0.3472858628735277
"Crawford, AR",0.5433407572383073
"Crittenden, AR",-0.09064694082246741
"Cross, AR",0.37605469886528947
"Dallas, AR",0.12414290869722122
"Desha, AR",-0.07258632840028188
"Drew, AR",0.24306292645943897
"Faulkner, AR",0.30965556420560947
"Franklin, AR",0.5410635155096012
"Fulton, AR",0.5037720033528919
"Garland, AR",0.33760568557774784
"Grant, AR",0.5845533915379449
"Greene, AR",0.5239041095890411
"Hempstead, AR",0.2871329266562633
"Hot Spring, AR",0.42054588077695915
"Howard, AR",0.386392811296534
"Independence, AR",0.5182165417952108
"Izard, AR",0.5376284875183553
"Jackson, AR",0.32660977501939487
"Jefferson, AR",-0.25187302077701396
"Johnson, AR",0.40210711150131695
"Lafayette, AR",0.25384615384615383
"Lawrence, AR",0.4927000879507476
"Lee, AR",-0.16721744877726372
"Lincoln, AR",0.314427600627287
"Little River, AR",0.42242203941075185
"Logan, AR",0.5089003913647266
"Lonoke, AR",0.5274538745387454
"Madison, AR",0.4882327145154217
"Marion, AR",0.5490361615308851
"Miller, AR",0.43633086818718536
"Mississippi, AR",0.10534686458648894
"Monroe, AR",0.061373092926490985
"Montgomery, AR",0.5324529362180388
"Nevada, AR",0.25970425138632164
"Newton, AR",0.5798028244071409
"Ouachita, AR",0.10367388022143935
"Perry, AR",0.45494658615884814
"Phillips, AR",-0.26808571839493744
"Pike, AR",0.6191911580005024
"Poinsett, AR",0.46904946904946904
"Polk, AR",0.6567853237759689
"Pope, AR",0.49873720590190085
