county_name,crime_rate_per_100000,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY,State
St. Louis city,1791.995377,1612,318667,318667,15,15,100.0,5706,22329,119,200,1778,3609,4995,13791,3543,464,318416,29,510,MO
Crittenden ,1754.914968,130,50717,50717,4,4,100.0,873,3424,8,38,165,662,1482,1753,189,28,49746,5,35,AR
Alexander ,1664.700485,604,8040,8040,2,2,100.0,127,278,1,2,5,119,82,184,12,2,7629,17,3,IL
Kenedy ,1456.31068,2681,444,444,1,1,100.0,6,13,0,3,1,2,5,4,4,0,412,48,261,TX
De Soto ,1447.40243,1137,26971,26971,3,3,100.0,392,703,3,4,17,368,149,494,60,0,27083,22,31,LA
Baltimore city,1419.5375689999998,1227,625474,625474,9,9,100.0,8831,29868,216,317,3638,4660,7804,18055,4009,251,622104,24,510,MD
Shelby ,1315.0037519999998,2534,942807,942807,15,14,100.0,12354,47864,135,483,3512,8224,14011,30620,3233,435,939465,47,157,TN
Marlboro ,1253.437132,2377,28780,28780,9,8,100.0,351,1549,3,20,32,296,408,1074,67,5,28003,45,69,SC
Storey ,1217.656012,1778,3947,3947,1,1,100.0,48,86,0,7,2,39,23,55,8,2,3942,32,29,NV
District of Columbia,1216.801325,325,632323,632323,2,1,100.0,7866,30757,88,236,4037,3505,3519,23575,3663,51,646449,11,1,DC
Dillon ,1165.583272,2359,32060,32060,9,8,100.0,364,1906,8,17,48,291,595,1206,105,12,31229,45,33,SC
Scott ,1163.145839,1597,40941,40941,7,8,100.0,457,1277,2,7,26,422,236,1002,39,8,39290,29,201,MO
Philadelphia ,1150.2963300000001,2320,1538957,1538957,6,5,100.0,17866,57000,332,881,7984,8669,12004,38595,6401,0,1553165,42,101,PA
Pershing ,1148.756725,1777,6822,6822,2,2,100.0,79,75,0,3,1,75,27,43,5,0,6877,32,27,NV
Greenwood ,1140.226324,2366,71009,70499,10,8,100.0,795,3651,7,39,73,676,965,2564,122,12,69723,45,47,SC
Madison ,1138.4238300000002,2512,98988,99067,4,5,100.0,1124,4084,13,33,196,882,1300,2604,180,27,98733,47,113,TN
Davidson ,1129.513728,2474,635244,635244,10,10,100.0,7439,27666,65,312,1753,5309,5875,20373,1418,100,658602,47,37,TN
Marion ,1083.5081189999999,753,911521,867596,11,9,100.0,10058,49004,102,453,3486,6017,15125,29122,4757,414,928281,18,97,IN
Wayne ,1065.188284,1324,1800769,1793982,47,47,99.6046,18910,69839,433,803,5879,11795,19882,34706,15251,766,1775273,26,163,MI
Jackson ,1026.623686,1545,839561,837636,19,23,100.0,6981,40642,116,358,1913,4594,9695,25994,4953,318,679996,29,95,MO
Northwest Arctic ,1014.964216,85,3334,3334,1,1,100.0,78,210,0,23,12,43,46,126,38,2,7685,2,188,AK
Pemiscot ,998.7095326,1575,18208,18208,7,7,100.0,178,678,0,6,21,151,192,463,23,2,17823,29,155,MO
Iberville ,974.0162436,1145,33427,31544,4,3,100.0,325,1220,5,9,26,285,266,928,26,0,33367,22,47,LA
Pulaski ,959.9165822999998,172,387762,387762,11,11,100.0,3756,26881,61,179,1058,2458,7065,18011,1805,130,391284,5,119,AR
Jefferson ,959.1343197999998,147,76535,76535,5,5,100.0,702,3960,14,42,139,507,1400,2306,255,44,73191,5,69,AR
Miller ,956.1771347000001,158,43925,43925,2,2,100.0,415,2215,1,9,45,360,488,1597,130,6,43402,5,91,AR
Muskogee ,954.4400666000001,2205,71462,71440,6,6,100.0,671,2344,3,34,41,593,878,1324,142,23,70303,40,101,OK
Barnwell ,953.9310095000001,2348,22571,22571,9,7,100.0,211,1114,5,4,33,169,349,691,74,10,22119,45,11,SC
Tangipahoa ,952.8593755,1174,123296,123296,8,7,96.5846,1195,7162,11,64,185,935,2683,4262,218,1,125412,22,105,LA
Marion ,941.6313295,2376,33158,33158,9,7,100.0,302,1923,8,12,51,231,771,1060,92,12,32072,45,67,SC
Dillingham Census Area,938.1237525,74,3268,2419,2,1,100.0,47,74,0,18,1,28,12,55,7,0,5010,2,70,AK
Dougherty ,930.4176661,440,95799,95799,10,6,100.0,865,5710,4,32,240,589,1600,3844,266,13,92969,13,95,GA
Carter ,930.0694973999999,2164,48392,48392,5,5,100.0,451,1886,4,42,37,368,450,1327,109,23,48491,40,19,OK
Genesee ,922.7783983999999,1267,422315,422010,30,30,98.5058,3833,15352,69,242,980,2542,6105,8311,936,313,415376,26,49,MI
Macon ,919.3417310000001,44,21344,21267,5,5,99.2649,181,1266,6,10,25,140,516,640,110,3,19688,1,87,AL
Milwaukee ,912.6349471000001,3122,955057,954968,21,21,99.4991,8725,43401,103,276,3426,4919,8744,29434,5223,351,956023,55,79,WI
Richland ,911.4452882000002,2382,397514,392816,20,16,100.0,3639,19563,24,184,809,2622,4965,12511,2087,51,399256,45,79,SC
Grundy ,911.2461105000001,2486,14135,13657,3,3,99.0994,123,387,3,4,1,115,157,167,63,12,13498,47,61,TN
Greene ,903.4766697000001,32,8957,8315,3,2,94.5801,79,152,0,2,7,70,48,90,15,12,8744,1,63,AL
Rock ,892.8571429,1393,9676,9676,1,1,100.0,85,64,0,0,0,85,9,52,3,0,9520,27,133,MN
San Joaquin ,887.1644385,226,702670,702670,15,10,100.0,6249,29264,89,152,1992,4016,8019,16847,4398,158,704379,6,77,CA
Pottawattamie ,873.5225606,874,93881,93881,3,3,100.0,810,5016,1,79,83,647,1166,3283,567,55,92728,19,155,IA
Nolan ,871.1844117999999,2727,15498,15498,4,4,100.0,131,507,0,27,10,94,143,345,19,1,15037,48,353,TX
Kodiak Island ,856.0311284,80,6332,6332,1,1,100.0,121,254,0,8,10,103,23,200,31,3,14135,2,150,AK
Winnebago ,854.9331535,703,296072,279755,17,11,100.0,2485,10787,15,196,553,1721,2939,7356,492,101,290666,17,201,IL
Suffolk ,831.2342903,1240,737435,737435,19,12,100.0,6280,22177,60,310,2257,3653,3956,16223,1998,11,755503,25,25,MA
Saginaw ,828.830479,1315,199227,199233,18,19,99.8744,1629,4681,29,126,242,1232,1751,2707,223,56,196542,26,145,MI
Dallas ,828.6503477000001,24,43506,43506,3,2,100.0,348,2316,9,24,70,245,743,1415,158,26,41996,1,47,AL
Fulton ,826.1767583,453,990261,959727,41,31,100.0,8132,49806,123,216,3365,4428,11091,31070,7645,135,984293,13,121,GA
Anchorage Municipality,824.7217146,71,299143,299143,3,3,100.0,2482,10728,15,303,488,1676,1159,8724,845,98,300950,2,20,AK
Madison ,822.2981632,364,19376,19376,12,5,100.0,154,486,1,7,13,133,153,317,16,4,18728,12,79,FL
Phillips ,818.6675817,166,21523,13324,3,2,97.0679,167,952,1,8,26,132,478,442,33,11,20399,5,107,AR
Sangamon ,817.9969369,686,198785,191633,33,26,96.48100000000001,1629,9256,40,160,318,1110,2104,6278,875,76,199145,17,167,IL
Haywood ,812.1158911,2493,18623,18623,2,2,100.0,148,648,0,7,10,131,226,396,26,5,18224,47,75,TN
Lucas ,810.9662621,2114,439867,415069,14,11,100.0,3539,12467,40,184,1192,2122,7618,3320,1529,547,436393,39,95,OH
Robeson ,809.8427036,1989,137057,136415,13,9,99.2591,1092,7958,13,32,273,775,2937,4637,385,69,134841,37,155,NC
Meade ,805.8945428999999,955,4554,4554,2,2,91.6667,35,28,0,1,0,34,5,23,0,0,4343,20,119,KS
Escambia ,798.51676,341,303195,303195,15,9,100.0,2442,14499,22,162,502,1756,3899,9920,680,52,305817,12,33,FL
Jefferson ,798.3574913,37,686887,659396,31,30,96.4415,5265,31530,85,268,1597,3315,9910,19810,1809,185,659479,1,73,AL
Nicholas ,793.3756981,3060,26269,24215,9,5,100.0,206,413,1,7,2,196,86,308,19,16,25965,54,67,WV
Franklin ,793.2402137999999,343,11754,11754,13,6,100.0,92,225,1,16,1,74,84,130,11,1,11598,12,37,FL
St. Clair ,782.1542957,684,267150,254702,30,25,100.0,2088,8233,28,183,349,1528,2426,5150,657,70,266955,17,163,IL
Orleans ,782.1184796,1157,362874,362874,7,6,100.0,2962,13907,193,137,1066,1566,3431,8258,2218,0,378715,22,71,LA
Ector ,781.9089826000001,2618,143948,142209,4,4,100.0,1168,5177,5,44,163,956,1090,3571,516,26,149378,48,135,TX
Avoyelles ,777.2585293,1126,42143,39977,5,4,100.0,321,1200,2,31,17,271,378,787,35,3,41299,22,9,LA
Rapides ,773.7920330000001,1161,133157,125912,9,4,100.0,1027,6203,9,43,169,806,1747,4207,249,4,132723,22,79,LA
Sumter ,767.644257,2385,108482,108482,8,6,100.0,830,4670,12,30,103,685,1611,2713,346,54,108123,45,85,SC
Comanche ,766.7864603999999,2170,126589,126589,5,5,100.0,958,5648,13,42,174,729,1702,3616,330,42,124937,40,31,OK
Mississippi ,763.9897241,159,46140,46140,8,8,99.3296,342,2277,8,21,47,266,891,1273,114,6,44765,5,93,AR
Colleton ,762.1467132,2357,38978,38978,9,7,100.0,288,1764,2,14,26,246,419,1151,194,14,37788,45,29,SC
Modoc ,754.3456871000001,212,9605,9605,4,4,100.0,69,152,1,12,3,53,58,90,4,5,9147,6,49,CA
Alameda ,753.6935735000001,188,1544062,1544062,26,22,100.0,11900,62130,153,477,6220,5050,13245,35841,13044,337,1578891,6,1,CA
Sumter ,752.455044,522,32858,32086,6,4,100.0,236,1609,0,4,40,192,741,826,42,0,31364,13,261,GA
Darlington ,746.3016117999999,2358,68948,68948,10,8,100.0,507,3866,10,17,70,410,1178,2471,217,11,67935,45,31,SC
Red River ,742.0733078,1162,8943,8943,2,2,100.0,66,151,0,0,2,64,23,116,12,0,8894,22,81,LA
Lubbock ,740.6920961,2702,287440,288162,9,10,100.0,2143,13452,12,139,328,1664,3400,9224,828,52,289324,48,303,TX
Socorro ,739.3084622,1843,17901,17901,4,4,96.3261,130,528,0,3,2,124,139,365,23,3,17584,35,53,NM
Duval ,738.8316151,2616,12768,11844,3,3,100.0,86,341,1,0,5,80,105,171,65,5,11640,48,131,TX
Bernalillo ,738.4818924,1815,671900,671904,3,4,100.0,4979,32914,50,329,1184,3416,7857,22025,3032,139,674221,35,1,NM
Marion ,732.7796776,2708,10664,10664,2,2,100.0,75,272,1,9,5,60,115,144,13,4,10235,48,315,TX
Lee ,730.3646372999999,2373,19156,19156,8,7,100.0,134,832,0,4,18,112,255,511,66,8,18347,45,61,SC
Shasta ,725.2206951000001,232,179423,179423,8,6,100.0,1298,6280,7,97,165,1029,1754,3623,903,35,178980,6,89,CA
Laurens ,724.7580365,2372,65434,67161,10,9,100.0,480,2453,6,31,49,394,734,1600,119,13,66229,45,59,SC
North Slope ,722.6925459,84,9618,9618,1,1,100.0,70,106,1,14,3,52,36,59,11,1,9686,2,185,AK
Hinds ,721.5219335,1439,249345,244858,12,8,99.9642,1767,13315,66,143,846,712,4627,7416,1272,69,244899,28,49,MS
Cibola ,720.6877628999999,1818,27702,27702,3,3,100.0,197,483,1,15,7,174,232,199,51,2,27335,35,6,NM
Tulsa ,719.1412721,2226,647709,614353,14,16,98.7971,4476,25574,45,381,1122,2928,7291,15582,2702,263,622409,40,143,OK
Putnam ,717.8582747,379,75051,75051,14,8,100.0,521,3061,5,37,51,428,1029,1952,80,7,72577,12,107,FL
Jefferson ,710.8948399,2673,256592,256588,7,7,100.0,1794,10120,20,114,554,1106,3147,6454,519,99,252358,48,245,TX
Ohio ,706.6572141,3061,44521,44247,12,10,93.2421,309,1142,0,24,46,240,322,764,56,4,43727,54,69,WV
San Francisco ,701.4217103999999,225,820363,820363,12,7,100.0,5874,40038,69,110,3554,2141,5401,29256,5381,211,837442,6,75,CA
Bamberg ,699.9351912000001,2347,16127,16127,10,9,100.0,108,687,0,2,21,85,231,415,41,2,15430,45,9,SC
Merced ,696.3544912000001,211,262308,262308,13,11,100.0,1833,10091,23,54,331,1425,2686,6047,1358,83,263228,6,47,CA
Harris ,696.1038338,2651,4272223,4243516,42,46,100.0,30189,178681,307,1143,12449,16290,43644,114208,20829,1153,4336853,48,201,TX
Jim Wells ,695.7773512,2675,41034,41958,4,5,100.0,290,1649,13,17,7,253,467,1089,93,14,41680,48,249,TX
Oklahoma ,694.8738489,2209,848804,736870,22,22,100.0,5248,37519,83,398,1137,3630,10118,23238,4163,145,755245,40,109,OK
McKinley ,694.3307687999999,1832,73781,73781,2,2,100.0,509,2282,7,42,67,393,540,1615,127,18,73308,35,31,NM
Mississippi ,693.1802269,1564,14333,14333,4,4,97.14299999999999,99,427,2,4,6,87,128,286,13,8,14282,29,133,MO
Alpine ,690.2502157,189,1112,1112,2,2,100.0,8,43,0,3,0,5,18,20,5,0,1159,6,3,CA
Calhoun ,689.8666258,412,7212,6812,4,4,91.37799999999999,45,78,0,0,14,31,21,49,7,0,6523,13,37,GA
Dyer ,688.2474551,2478,38510,38507,4,4,100.0,263,1521,0,9,23,231,387,1084,50,3,38213,47,45,TN
Clark ,685.1530769999999,1766,1995735,1995735,9,7,100.0,13894,59115,94,739,4422,8639,17538,33364,8213,297,2027868,32,3,NV
Guadalupe ,681.1689739,1825,4626,4626,2,2,100.0,31,95,0,0,6,25,34,53,8,1,4551,35,19,NM
San Juan ,675.0828044,1839,128404,128404,4,4,99.4801,854,3239,6,133,57,657,725,2325,189,29,126503,35,45,NM
Fairfield ,675.0616643,2362,23795,23795,7,5,100.0,156,886,4,8,15,129,211,607,68,5,23109,45,39,SC
McDonald ,673.8186009,1557,23020,23020,7,7,99.6945,152,401,1,4,4,143,110,266,25,6,22558,29,119,MO
Taylor ,673.754211,387,23001,23001,12,6,100.0,154,296,3,10,6,135,117,164,15,3,22857,12,123,FL
Wayne ,668.2847357999999,544,30651,30651,3,3,100.0,201,1631,8,6,24,163,318,1289,24,0,30077,13,305,GA
East Baton Rouge ,667.0754469,1138,444049,444049,7,6,100.0,2970,21659,84,77,1297,1512,5806,15182,671,213,445227,22,33,LA
Leon ,664.1948589,361,281764,281764,25,11,100.0,1872,11021,17,137,576,1142,3378,7002,641,25,281845,12,73,FL
Lander ,663.1299735,1772,5917,5917,1,1,100.0,40,104,0,9,0,31,38,55,11,3,6032,32,15,NV
Orange ,662.6310837,373,1185059,1185059,27,18,100.0,8119,50081,76,450,1977,5616,14034,32034,4013,50,1225267,12,95,FL
Leflore ,661.2459265,1456,31930,31930,3,3,100.0,209,1541,2,24,46,137,601,906,34,3,31607,28,83,MS
Essex ,659.9836619,1799,789003,789003,32,30,100.0,5211,21490,121,132,2938,2021,4849,10759,5882,119,789565,34,13,NJ
Peach ,658.9175982999999,504,27687,28120,4,6,100.0,178,1021,0,2,19,157,286,688,47,1,27014,13,225,GA
Burke ,658.7270427,410,23728,23416,5,5,71.1362,151,633,2,1,11,137,215,397,21,0,22923,13,33,GA
Hamilton ,658.496643,2488,343670,343670,13,13,100.0,2296,14754,26,91,560,1619,3405,10133,1216,37,348673,47,65,TN
Miami-Dade ,656.0124347999999,368,2589623,2589623,50,42,100.0,17169,113548,210,570,6006,10383,21105,82992,9451,226,2617176,12,86,FL
Columbia ,654.3979391,337,68406,68406,12,5,100.0,442,2182,3,20,46,373,812,1317,53,3,67543,12,23,FL
Crockett ,651.0862861,2472,14673,14673,6,6,100.0,95,267,1,11,2,81,81,171,15,0,14591,47,33,TN
Lenoir ,650.100146,1965,59741,59185,5,2,100.0,383,2331,1,18,76,288,796,1468,67,11,58914,37,107,NC
Hempstead ,649.6395835,141,22627,22627,2,2,100.0,146,998,2,16,12,116,332,615,51,6,22474,5,57,AR
Hutchinson ,646.2257665,2667,22463,20556,3,2,100.0,141,694,0,20,5,116,184,489,21,5,21819,48,233,TX
Richmond city,644.9835135,2977,207799,207799,6,6,100.0,1381,9853,44,43,640,654,2068,6833,952,54,214114,51,760,VA
Jefferson Davis ,644.4593237,1447,12144,12144,1,1,66.6667,77,270,5,2,3,68,206,48,17,0,11948,28,65,MS
Conecuh ,644.0599053,18,13150,13158,4,5,95.2171,83,403,1,4,8,70,108,252,42,5,12887,1,35,AL
Morehouse ,639.3909155,1155,27771,27771,2,2,100.0,173,1207,0,3,34,136,315,842,50,6,27057,22,67,LA
Early ,635.5530259999999,442,10493,10642,3,3,100.0,67,307,1,3,8,55,105,196,6,0,10542,13,99,GA
Henderson ,634.6263548,2494,28504,28143,4,4,100.0,178,791,1,8,10,159,204,544,43,3,28048,47,77,TN
Richmond ,634.123325,1891,468058,468058,6,1,100.0,2997,8102,24,66,1143,1764,1053,6586,463,0,472621,36,85,NY
New York ,634.0093435,1879,1609907,1609907,10,2,100.0,10310,27945,81,227,3932,6070,3623,22730,1592,0,1626159,36,61,NY
Jefferson ,633.9923403,643,38731,38731,3,2,100.0,245,1188,0,20,27,198,326,832,30,16,38644,17,81,IL
Bronx ,632.0428157,1851,1400485,1400485,8,1,100.0,8967,24270,71,197,3420,5279,3165,19721,1385,0,1418733,36,5,NY
Queens ,630.3962024,1889,2260875,2260875,8,1,100.0,14475,39137,114,317,5522,8522,5088,31814,2235,0,2296175,36,81,NY
Kings ,630.2492642000001,1872,2551084,2551084,8,1,100.0,16337,44232,129,358,6235,9616,5742,35966,2524,0,2592149,36,47,NY
Warren ,629.7229219,542,5782,5782,3,2,100.0,35,95,0,0,1,34,30,60,5,0,5558,13,301,GA
Nash ,628.8580653,1975,115039,95800,10,7,100.0,598,3272,11,17,100,470,1125,1981,166,12,95093,37,127,NC
Lauderdale ,626.0118726,2504,27977,27977,6,6,100.0,174,933,2,9,16,147,420,472,41,4,27795,47,97,TN
Cocke ,625.7222582,2470,35838,35838,2,2,100.0,222,1605,3,4,24,191,483,1033,89,15,35479,47,29,TN
Bowie ,622.5464503,2569,94183,94183,7,7,100.0,582,3855,7,33,88,454,1073,2541,241,27,93487,48,37,TX
Hampton ,622.3049784,2367,21141,18316,11,7,98.353,127,565,0,7,18,102,203,336,27,17,20408,45,49,SC
Hendry ,621.814203,350,39622,39622,11,5,100.0,233,1293,0,15,37,181,595,646,52,8,37471,12,51,FL
Duval ,621.5464156,340,882589,882589,19,12,100.0,5506,37072,94,355,1436,3621,8025,27335,1712,96,885855,12,31,FL
Durham ,621.2408853,1943,272099,276101,8,7,100.0,1790,11998,21,70,633,1066,3735,7491,772,61,288133,37,63,NC
Greene ,620.7066615,1536,277535,277737,10,12,99.9554,1762,17117,17,163,362,1219,2863,13016,1238,86,283870,29,77,MO
Jefferson ,619.9802734,357,14858,14858,12,5,100.0,88,176,0,3,6,79,103,64,9,2,14194,12,65,FL
Escambia ,618.6978385,27,38248,38248,5,5,100.0,235,1154,3,7,18,207,299,793,62,14,37983,1,53,AL
Horry ,617.6419817000001,2368,278968,278968,16,14,99.8421,1789,14319,21,201,416,1151,3158,10088,1073,57,289650,45,51,SC
Nueces ,616.5739392,2728,348408,348422,8,8,99.9819,2171,15190,18,194,392,1567,2723,11976,491,41,352107,48,355,TX
Sedgwick ,615.5337693,982,504423,503636,22,23,99.50399999999999,3111,23678,24,273,513,2301,4575,17136,1967,160,505415,20,173,KS
Edgecombe ,615.3956886,1944,39195,56386,7,5,100.0,342,2119,3,14,61,264,735,1301,83,13,55574,37,65,NC
Montgomery ,615.303861,958,35089,35089,5,5,96.184,211,1208,1,17,17,176,303,858,48,20,34292,20,125,KS
Caddo ,614.7822368,1130,261353,254848,6,5,100.0,1567,10679,17,98,436,1016,2642,7558,479,79,254887,22,17,LA
Graham ,613.6278747,101,37552,27918,4,3,100.0,230,391,1,0,0,229,119,251,21,7,37482,4,9,AZ
Madera ,612.9051308999999,207,154343,154343,6,5,100.0,934,4017,2,35,139,758,1654,1715,648,11,152389,6,39,CA
Sebastian ,612.5237549,178,127610,127610,4,4,100.0,780,5264,6,77,97,600,1261,3804,199,12,127342,5,131,AR
Emanuel ,612.2359732000001,446,22536,22606,6,5,98.7968,140,1110,2,6,14,118,253,799,59,2,22867,13,107,GA
Camden ,610.3101467,1796,515768,515768,44,43,99.9044,3130,16699,71,117,1182,1760,3986,11325,1388,173,512854,34,7,NJ
Nye ,609.9723385,1776,43918,43918,1,1,100.0,258,1147,0,11,26,221,334,687,126,10,42297,32,23,NV
Greenlee ,607.8019671,102,8700,8700,2,2,100.0,55,129,1,3,1,50,37,88,4,0,9049,4,11,AZ
Alachua ,605.2451953,326,252767,252767,18,10,100.0,1534,8605,10,138,253,1133,1917,6331,357,25,253451,12,1,FL
Union ,604.5117216,182,41584,39722,3,2,100.0,246,1386,1,4,36,205,522,802,62,7,40694,5,139,AR
Peoria ,603.941007,674,186990,186921,11,9,100.0,1138,6644,14,53,347,723,1809,4545,290,61,188429,17,143,IL
Madison ,603.3578173999999,45,346631,341477,11,9,99.8606,2093,12692,18,107,523,1445,3217,8556,919,33,346892,1,89,AL
Calhoun ,602.1686961,1255,135548,135588,9,10,99.2679,813,4357,11,83,112,606,1405,2782,170,41,135012,26,25,MI
Williamsburg ,601.8084495,2387,34385,34408,10,10,100.0,199,1341,4,11,39,145,440,785,116,17,33067,45,89,SC
Roberts ,601.6847172,2747,828,828,1,1,100.0,5,17,0,1,0,4,1,13,3,0,831,48,393,TX
Bradley ,600.895452,2461,100881,100881,5,5,100.0,612,3250,1,38,54,519,681,2409,160,7,101848,47,11,TN
Anderson ,600.0807801,2346,190274,190280,13,14,99.7289,1144,9644,18,55,157,914,2438,6372,835,36,190641,45,7,SC
Denver ,599.0808243,263,628545,628545,5,3,100.0,3891,23697,39,383,1170,2299,5152,14857,3688,98,649495,8,31,CO
Chester ,598.5634477000001,2354,33229,33229,9,7,100.0,195,1316,2,12,25,156,389,867,60,2,32578,45,23,SC
Lowndes ,597.9631879,43,11192,10172,6,4,86.4465,64,268,1,3,8,51,117,127,25,7,10703,1,85,AL
Willacy ,597.6004743999999,2795,22426,22426,5,5,100.0,131,705,0,14,4,113,226,463,16,7,21921,48,489,TX
Cook ,596.6569350999999,618,5185540,5151374,150,140,99.8313,31269,170113,566,463,15583,14657,34233,115634,20245,892,5240700,17,31,IL
Clark ,593.2458517000001,714,111919,111919,6,6,97.744,670,4605,3,16,73,579,954,3388,263,4,112938,18,19,IN
DeKalb ,592.9851123,437,678432,707361,17,17,100.0,4230,37693,80,163,2140,1847,10669,21449,5575,184,713340,13,89,GA
Potter ,592.6303417,2738,212507,124116,4,4,100.0,721,5110,5,60,154,502,1218,3529,363,30,121661,48,375,TX
Arkansas ,591.1487457999999,113,18964,18964,3,3,100.0,111,802,0,4,24,83,339,429,34,7,18777,5,1,AR
Chicot ,591.0895457,121,11765,11765,4,4,93.4552,67,256,0,4,8,56,83,171,2,2,11335,5,17,AR
Cochise ,590.856781,98,134744,133333,8,7,99.7631,765,3572,4,40,52,669,713,2662,197,32,129473,4,3,AZ
Wyandotte ,590.457901,1000,158998,159032,7,7,99.9979,947,8175,16,90,286,554,1834,5085,1256,80,160384,20,209,KS
Turner ,590.1155643,535,8970,8970,3,3,100.0,48,226,0,6,4,38,46,161,19,3,8134,13,287,GA
Lake ,588.7879737000001,204,64919,64919,5,4,100.0,376,1925,3,33,60,280,766,958,201,25,63860,6,33,CA
Luna ,588.0206009999999,1831,25321,25321,2,2,100.0,145,855,0,9,6,130,243,583,28,4,24659,35,29,NM
Manatee ,585.7833537,365,329143,331606,14,9,100.0,2004,10823,26,141,388,1449,2720,7699,404,14,342106,12,81,FL
Hampden ,583.3274487000001,1234,467909,461774,31,23,99.9391,2726,15637,11,151,788,1776,4570,9836,1231,115,467319,25,13,MA
Haralson ,582.5583436000001,464,28990,28944,5,5,100.0,166,842,1,6,4,155,310,442,90,1,28495,13,143,GA
New Castle ,581.7888096,323,547886,547920,17,16,100.0,3198,17962,46,130,1167,1855,4310,12637,1015,22,549684,10,3,DE
Calhoun ,580.7976974,8,122213,118270,8,10,99.5075,678,5339,6,37,131,504,1710,3482,147,34,116736,1,15,AL
Jackson ,580.1317417,641,60393,59786,7,5,100.0,347,2244,1,29,53,264,488,1683,73,20,59814,17,77,IL
St. James ,579.2570797999999,1168,21913,21913,3,3,100.0,126,545,1,6,9,110,128,401,16,0,21752,22,93,LA
Sullivan ,578.5625339,2537,161216,158719,8,9,100.0,906,5505,3,56,70,777,1077,4129,299,37,156595,47,163,TN
Greenville ,577.3131534,2365,474419,465684,14,12,100.0,2738,16402,20,189,451,2078,4000,11148,1254,67,474266,45,45,SC
Concordia ,577.2429312,1136,20999,20999,3,3,100.0,118,464,2,4,5,107,142,304,18,0,20442,22,29,LA
Jefferson ,576.7462264,1057,748857,748003,25,20,99.9308,4365,32473,78,266,1557,2465,8103,21941,2430,250,756832,21,111,KY
Kern ,575.8432818,202,859608,859608,18,15,100.0,4976,34761,65,174,1313,3424,10931,17584,6246,589,864124,6,29,CA
Clayton ,575.2781772999999,424,263026,264323,10,10,100.0,1520,13181,28,71,693,728,4477,7068,1636,34,264220,13,63,GA
Plumas ,572.6708732999999,219,19948,19948,4,3,100.0,108,437,0,15,1,92,143,271,23,0,18859,6,63,CA
Emporia city,572.6556908,2956,5936,5936,2,2,100.0,32,299,0,3,5,24,71,213,15,2,5588,51,595,VA
Kershaw ,571.0538102,2370,62865,62865,9,7,99.8197,357,2120,2,30,26,299,663,1333,124,4,62516,45,55,SC
Mecosta ,570.6597383,1296,43331,43331,5,5,99.931,246,899,0,20,0,226,181,691,27,4,43108,26,107,MI
Natchitoches ,569.7787317000001,1156,39675,39675,4,4,100.0,223,1791,4,7,24,188,518,1223,50,4,39138,22,69,LA
Eddy ,569.6670332,1823,54238,54238,4,4,98.6882,316,2357,7,26,19,263,628,1596,133,7,55471,35,15,NM
Union ,567.2493757,2386,28952,28952,8,7,100.0,159,1077,2,9,20,128,270,776,31,8,28030,45,87,SC
West Carroll ,566.9428696,1183,11637,9905,3,2,100.0,65,344,0,0,0,65,49,285,10,3,11465,22,123,LA
Vermilion ,565.1757149,694,81547,81547,18,18,98.369,454,3058,4,63,88,299,955,1979,124,27,80329,17,183,IL
Rio Arriba ,563.9848272999999,1836,43808,40510,2,2,100.0,226,836,1,5,38,182,401,396,39,3,40072,35,39,NM
Cumberland ,562.7993899,1937,328104,328104,8,6,100.0,1834,19300,30,95,728,980,6378,11924,999,104,325871,37,51,NC
Hardeman ,562.6092907000001,2490,27060,27056,6,6,100.0,148,655,4,3,11,130,225,376,54,8,26306,47,69,TN
Independence ,562.2077466,144,36838,37001,1,2,100.0,208,1552,0,22,16,170,601,830,121,25,36997,5,63,AR
St. Mary ,562.1649888999999,1172,54531,52101,6,5,100.0,301,1814,1,19,41,240,412,1329,73,3,53543,22,101,LA
Chambers ,562.0279843,9,34075,34075,4,4,100.0,192,1345,1,7,24,160,374,875,96,5,34162,1,17,AL
Tehama ,561.3968313999999,239,64191,64191,5,5,100.0,354,1507,3,17,36,298,451,896,160,5,63057,6,103,CA
Brooks ,560.7115236000001,407,15668,15500,4,4,100.0,87,479,0,12,10,65,117,328,34,0,15516,13,27,GA
Champaign ,560.2815072999999,612,201779,200594,16,12,100.0,1148,5777,4,129,226,789,1571,4040,166,47,204897,17,19,IL
Glynn ,559.4542867,456,81244,81244,7,5,100.0,456,3883,6,13,125,312,957,2814,112,8,81508,13,127,GA
Petersburg city,559.3459955,2973,32682,32682,4,4,100.0,182,1441,5,7,59,111,395,939,107,7,32538,51,730,VA
Norfolk city,558.2211677,2971,245303,245303,7,7,100.0,1374,12058,34,88,502,750,2327,8972,759,62,246139,51,710,VA
Henderson ,557.9399142000001,638,7016,7016,3,3,100.0,39,172,0,1,1,37,69,103,0,1,6990,17,71,IL
Sierra ,557.9258287,233,3142,3142,3,3,100.0,17,55,0,0,0,17,16,37,2,1,3047,6,91,CA
East Carroll ,557.8430070000001,1139,7675,7675,2,2,83.7655,42,125,3,0,3,36,57,68,0,0,7529,22,35,LA
